,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price
8768,11,1,28,72,54,408,60.0,155
8769,12,1,28,72,54,408,83.87,155
8770,1,1,14,99,54,408,3.45,175
8771,2,1,14,99,54,408,32.14,175
8772,1,1,35,93,54,408,100.0,145
8773,2,1,35,93,54,408,0.0,145
8774,3,1,35,93,54,408,41.94,135
8775,4,1,35,93,54,408,56.67,155
8776,5,1,35,93,54,408,100.0,155
8777,6,1,35,93,54,408,100.0,145
8778,7,1,35,93,54,408,100.0,145
8779,8,1,35,93,54,408,100.0,145
8780,9,1,35,93,54,408,100.0,145
8781,10,1,35,93,54,408,100.0,145
8782,11,1,35,93,54,408,100.0,145
8783,12,1,35,93,54,408,100.0,145
8784,1,1,12,78,54,408,86.21,350
8785,2,1,12,78,54,408,0.0,336
8786,3,1,12,78,54,408,32.26,250
8787,4,1,12,78,54,408,100.0,330
8788,5,1,12,78,54,408,0.0,336
8789,6,1,12,78,54,408,66.67,330
8790,7,1,12,78,54,408,100.0,330
8791,8,1,12,78,54,408,3.23,330
8792,9,1,12,78,54,408,90.0,330
8793,10,1,12,78,54,408,100.0,330
8794,11,1,12,78,54,408,13.33,300
8795,12,1,12,78,54,408,41.94,300
8796,1,1,41,93,54,408,55.17,179
8797,2,1,41,93,54,408,0.0,149
8798,3,1,41,93,54,408,100.0,157
8799,4,1,41,93,54,408,100.0,157
8800,5,1,41,93,54,408,100.0,157
8801,6,1,41,93,54,408,83.33,179
8802,7,1,41,93,54,408,64.52,179
8803,8,1,41,93,54,408,38.71,179
8804,9,1,41,93,54,408,66.67,179
8805,10,1,41,93,54,408,100.0,179
8806,11,1,41,93,54,408,66.67,149
8807,12,1,41,93,54,408,61.29,149
8808,1,1,8,91,54,408,90.32,165
8809,2,1,8,91,54,408,100.0,165
8810,3,1,8,91,54,408,0.0,165
8811,4,1,8,91,54,408,93.33,165
8812,5,1,8,91,54,408,58.06,165
8813,6,1,8,91,54,408,100.0,165
8814,7,1,8,91,54,408,25.81,165
8815,8,1,8,91,54,408,22.58,165
8816,9,1,8,91,54,408,100.0,150
8817,10,1,8,91,54,408,100.0,150
8818,11,1,8,91,54,408,53.33,150
8819,12,1,8,91,54,408,100.0,150
8820,1,1,44,86,54,408,20.0,120
8821,2,1,44,86,54,408,0.0,130
8822,3,1,44,86,54,408,0.0,130
8823,4,1,44,86,54,408,0.0,130
8824,5,1,44,86,54,408,0.0,130
