,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
263,6,1,30,90,Williamsburg,1248,53.33,169,71
264,7,1,30,90,Williamsburg,1248,12.9,169,71
265,8,1,30,90,Williamsburg,1248,0.0,169,71
266,9,1,30,90,Williamsburg,1248,0.0,169,71
267,10,1,30,90,Williamsburg,1248,77.42,169,71
268,11,1,30,90,Williamsburg,1248,20.0,169,71
269,12,1,30,90,Williamsburg,1248,0.0,169,71
270,1,1,38,93,Williamsburg,1248,0.0,215,71
271,2,1,38,93,Williamsburg,1248,3.45,215,71
272,3,1,38,93,Williamsburg,1248,0.0,215,71
273,4,1,38,93,Williamsburg,1248,96.67,235,71
274,5,1,38,93,Williamsburg,1248,54.84,235,71
275,6,1,38,93,Williamsburg,1248,26.67,235,71
276,7,1,38,93,Williamsburg,1248,6.45,235,71
277,8,1,38,93,Williamsburg,1248,0.0,235,71
278,9,1,38,93,Williamsburg,1248,0.0,235,71
279,10,1,38,93,Williamsburg,1248,87.1,225,71
280,11,1,38,93,Williamsburg,1248,26.67,225,71
281,12,1,38,93,Williamsburg,1248,0.0,225,71
282,1,1,17,95,Williamsburg,1248,100.0,140,71
283,2,1,17,95,Williamsburg,1248,100.0,140,71
284,3,1,17,95,Williamsburg,1248,100.0,140,71
285,4,1,17,95,Williamsburg,1248,100.0,160,71
286,5,1,17,95,Williamsburg,1248,100.0,140,71
287,6,1,17,95,Williamsburg,1248,100.0,140,71
288,7,1,17,95,Williamsburg,1248,3.23,140,71
289,8,1,17,95,Williamsburg,1248,16.13,140,71
290,9,1,17,95,Williamsburg,1248,70.0,160,71
291,10,1,17,95,Williamsburg,1248,100.0,140,71
292,11,1,17,95,Williamsburg,1248,0.0,140,71
293,12,1,17,95,Williamsburg,1248,0.0,184,71
294,1,1,38,96,Williamsburg,1248,40.0,200,71
295,4,1,38,96,Williamsburg,1248,20.0,225,71
296,1,1,9,93,Williamsburg,1248,20.0,160,71
297,2,1,9,93,Williamsburg,1248,100.0,180,71
298,3,1,9,93,Williamsburg,1248,83.87,180,71
299,4,1,9,93,Williamsburg,1248,100.0,180,71
300,5,1,9,93,Williamsburg,1248,93.55,180,71
301,6,1,9,93,Williamsburg,1248,86.67,180,71
302,7,1,9,93,Williamsburg,1248,93.55,180,71
