,neighborhood,month,bedrooms,area,sub_area,max_price,min_price,median_price,mean_price
262,Borough Park,11,1,Brooklyn,Brooklyn,75,75,75,75
263,Borough Park,12,1,Brooklyn,Brooklyn,68,68,68,68
264,Brighton Beach,1,1,Brooklyn,Brooklyn,95,95,95,95
265,Brighton Beach,1,2,Brooklyn,Brooklyn,150,150,150,150
266,Brighton Beach,2,1,Brooklyn,Brooklyn,200,200,200,200
267,Brighton Beach,2,2,Brooklyn,Brooklyn,110,110,110,110
268,Brighton Beach,3,1,Brooklyn,Brooklyn,200,200,200,200
269,Brighton Beach,3,2,Brooklyn,Brooklyn,110,110,110,110
270,Brighton Beach,4,1,Brooklyn,Brooklyn,168,168,168,168
271,Brighton Beach,4,2,Brooklyn,Brooklyn,150,150,150,150
272,Brighton Beach,5,1,Brooklyn,Brooklyn,180,180,180,180
273,Brighton Beach,5,2,Brooklyn,Brooklyn,150,150,150,150
274,Brighton Beach,6,1,Brooklyn,Brooklyn,164,164,164,164
275,Brighton Beach,6,2,Brooklyn,Brooklyn,150,150,150,150
276,Brighton Beach,7,1,Brooklyn,Brooklyn,69,69,69,69
277,Brighton Beach,7,2,Brooklyn,Brooklyn,150,150,150,150
278,Brighton Beach,8,1,Brooklyn,Brooklyn,125,125,125,125
279,Brighton Beach,8,2,Brooklyn,Brooklyn,150,150,150,150
280,Brighton Beach,9,1,Brooklyn,Brooklyn,159,159,159,159
281,Brighton Beach,9,2,Brooklyn,Brooklyn,150,150,150,150
282,Brighton Beach,10,1,Brooklyn,Brooklyn,155,155,155,155
283,Brighton Beach,10,2,Brooklyn,Brooklyn,150,150,150,150
284,Brighton Beach,11,1,Brooklyn,Brooklyn,155,155,155,155
285,Brighton Beach,11,2,Brooklyn,Brooklyn,150,150,150,150
286,Brighton Beach,12,1,Brooklyn,Brooklyn,137,137,137,137
287,Brighton Beach,12,2,Brooklyn,Brooklyn,150,150,150,150
288,Brooklyn Heights,1,1,Brooklyn,Brooklyn,259,72,188,177
289,Brooklyn Heights,1,2,Brooklyn,Brooklyn,200,199,200,200
290,Brooklyn Heights,1,3,Brooklyn,Brooklyn,600,340,470,470
291,Brooklyn Heights,2,1,Brooklyn,Brooklyn,259,129,188,194
292,Brooklyn Heights,2,2,Brooklyn,Brooklyn,300,175,238,238
293,Brooklyn Heights,2,3,Brooklyn,Brooklyn,800,340,570,570
294,Brooklyn Heights,3,1,Brooklyn,Brooklyn,250,129,175,191
295,Brooklyn Heights,3,2,Brooklyn,Brooklyn,200,179,190,190
296,Brooklyn Heights,3,3,Brooklyn,Brooklyn,800,340,570,570
297,Brooklyn Heights,4,1,Brooklyn,Brooklyn,250,129,180,196
298,Brooklyn Heights,4,2,Brooklyn,Brooklyn,300,199,250,250
299,Brooklyn Heights,4,3,Brooklyn,Brooklyn,800,340,570,570
300,Brooklyn Heights,5,1,Brooklyn,Brooklyn,250,90,174,178
301,Brooklyn Heights,5,2,Brooklyn,Brooklyn,300,199,250,250
302,Brooklyn Heights,5,3,Brooklyn,Brooklyn,800,340,570,570
303,Brooklyn Heights,6,1,Brooklyn,Brooklyn,250,129,200,204
304,Brooklyn Heights,6,2,Brooklyn,Brooklyn,250,199,224,224
305,Brooklyn Heights,6,3,Brooklyn,Brooklyn,800,340,570,570
306,Brooklyn Heights,7,1,Brooklyn,Brooklyn,250,90,179,179
307,Brooklyn Heights,7,2,Brooklyn,Brooklyn,200,199,200,200
308,Brooklyn Heights,7,3,Brooklyn,Brooklyn,600,170,385,385
309,Brooklyn Heights,8,1,Brooklyn,Brooklyn,250,90,179,179
310,Brooklyn Heights,8,2,Brooklyn,Brooklyn,250,199,224,224
311,Brooklyn Heights,8,3,Brooklyn,Brooklyn,650,170,410,410
312,Brooklyn Heights,9,1,Brooklyn,Brooklyn,250,129,200,201
313,Brooklyn Heights,9,2,Brooklyn,Brooklyn,300,205,252,252
314,Brooklyn Heights,9,3,Brooklyn,Brooklyn,800,170,485,485
315,Brooklyn Heights,10,1,Brooklyn,Brooklyn,250,90,179,179
316,Brooklyn Heights,10,2,Brooklyn,Brooklyn,300,199,250,250
317,Brooklyn Heights,10,3,Brooklyn,Brooklyn,800,170,485,485
318,Brooklyn Heights,11,1,Brooklyn,Brooklyn,250,90,179,179
319,Brooklyn Heights,11,2,Brooklyn,Brooklyn,300,199,250,250
320,Brooklyn Heights,11,3,Brooklyn,Brooklyn,800,170,485,485
321,Brooklyn Heights,12,1,Brooklyn,Brooklyn,250,90,179,179
322,Brooklyn Heights,12,2,Brooklyn,Brooklyn,300,205,252,252
323,Brooklyn Heights,12,3,Brooklyn,Brooklyn,800,170,485,485
324,Brownsville,1,0,Brooklyn,Brooklyn,79,79,79,79
325,Brownsville,2,0,Brooklyn,Brooklyn,79,79,79,79
326,Brownsville,3,0,Brooklyn,Brooklyn,79,79,79,79
327,Brownsville,4,0,Brooklyn,Brooklyn,115,115,115,115
328,Brownsville,5,0,Brooklyn,Brooklyn,115,115,115,115
